Date,Open,High,Low,Close,Volume,vwap
20210420,612.93,619.88,598.52,606.85,8353326,606.847
20210421,604.75,614.5,604.09,614.42,5419426,610.5957
20210422,615.0,617.5427,591.34,594.01,6944657,601.4341
20210423,597.3745,613.395,596.01,610.61,5694305,607.2693
20210426,607.4018,619.16,605.0,619.12,4944927,613.8065
20210427,623.14,626.82,614.18,615.27,4114325,617.6706
20210428,614.58,621.29,608.6207,611.07,5235405,613.4724
20210429,616.0,617.46,602.86,612.99,4329912,610.0979
20210430,606.98,614.5999,599.88,600.38,5047752,604.5934
20210503,605.0,609.87,591.5,593.47,5097796,597.1833
20210504,585.49,585.5,560.4101,574.05,10133120,570.1075
20210505,588.36,592.54,575.5,578.34,7300576,584.396
20210506,579.81,582.85,568.7236,580.92,4834523,576.4953
20210507,592.33,598.83,586.8683,592.49,5733183,593.1215
20210510,591.49,592.24,570.0,570.63,6722595,575.239
20210511,553.0,574.19,550.0,572.25,7139634,564.7282
20210512,560.38,570.41,548.37,550.34,7585233,555.2749
20210513,561.35,563.23,538.36,546.61,7143187,550.0901
20210514,555.6,573.1242,549.94,569.72,6465375,565.3673
20210517,566.28,566.77,554.14,566.62,5424521,561.3365
20210518,570.68,576.17,560.16,560.63,4656356,567.8569
20210519,542.66,563.18,541.73,562.63,8599984,554.2119
20210520,572.1,587.3514,570.82,584.5,8039798,581.6711
20210521,606.55,608.88,594.7756,599.67,16824800,601.4962
20210524,608.5,629.8,607.04,624.48,13870405,622.1394
20210525,630.64,632.7399,619.3,625.91,10885172,624.9014
20210526,629.37,631.75,623.45,628.0,9260966,626.6031
20210527,627.99,630.0,618.4,619.52,14536880,622.8276
20210528,620.04,651.099,620.04,649.78,16113390,643.1863
20210601,650.8,655.525,636.13,650.58,11820075,646.3705
20210602,650.09,676.7547,649.42,671.13,14854189,667.484
20210603,668.03,690.36,663.32,678.79,14500170,679.1336
20210604,684.5,706.44,683.82,703.13,15428007,700.4467
20210607,702.8456,712.5,687.71,704.76,14393873,700.2625
20210608,701.09,704.8635,690.04,698.28,8096169,696.9043
20210609,700.63,703.0,690.23,694.33,9541437,696.4233
