Date,Open,High,Low,Close,Volume,vwap
20201209,308.07,308.36,300.21,301.31,48839306,304.13
20201210,299.21,303.68,298.09,302.52,27519544,301.7979
20201211,300.81,301.98,298.47,301.85,26760416,300.6586
20201214,303.08,306.05,303.01,304.04,28804832,304.585
20201215,306.37,307.29,304.11,307.29,25790455,306.0961
20201216,307.7,309.785,306.621,308.98,25461890,308.3175
20201217,310.63,311.24,309.39,311.0,23730524,310.3777
20201218,311.66,311.98,307.61,310.06,41173392,310.1062
20201221,306.46,309.47,303.6,308.92,37095480,307.2744
20201222,309.85,310.7105,306.845,309.76,26378343,309.2142
20201223,309.81,310.18,308.035,308.2,21201280,309.2676
20201224,308.47,310.02,308.39,309.56,16784997,309.3393
20201228,312.25,313.17,310.36,312.68,22497745,312.0286
20201229,314.05,314.685,312.03,312.96,25871925,313.1415
20201230,314.16,314.49,312.33,312.97,18138071,313.1569
20201231,312.87,314.24,311.76,313.74,21611412,313.0024
20210104,315.11,315.29,305.18,309.31,45305898,309.8883
20210105,308.29,312.14,308.29,311.86,29323409,310.5984
20210106,307.0,311.88,305.98,307.54,52809622,309.2184
20210107,310.28,315.84,310.25,314.98,30394826,313.3675
20210108,317.34,319.39,315.0814,319.03,33955847,317.5477
20210111,315.98,317.19,313.75,314.42,32869095,315.6161
20210112,314.46,315.58,311.2,313.92,29266762,313.809
20210113,314.19,316.86,313.57,316.04,22898417,315.5844
20210114,316.5,317.53,313.8616,314.35,23500129,315.7922
20210115,314.13,315.12,310.58,311.86,35118718,312.8506
20210119,314.25,316.93,313.12,316.41,24537049,315.1779
20210120,320.14,324.74,316.509,323.77,30728096,322.2594
20210121,325.15,327.13,323.73,326.36,25316935,325.6926
20210122,325.29,326.46,324.71,325.42,21609444,325.7104
20210125,328.91,330.32,321.41,328.11,39080644,326.8621
20210126,328.85,329.76,327.22,328.59,25498112,328.7948
20210127,326.26,326.27,317.36,319.43,55263985,322.1603
20210128,320.67,326.42,320.03,321.32,42836324,322.9027
20210129,319.58,320.7193,312.76,314.56,55259018,316.6087
20210201,318.11,323.54,316.02,322.42,35646008,320.5722
20210202,325.48,328.87,325.31,327.68,33930844,327.1413
20210203,329.82,330.195,326.32,326.38,24824518,327.9936
20210204,327.82,330.33,326.46,330.24,22350947,328.3587
20210205,331.22,332.4025,329.53,331.36,22731960,330.9892
20210208,333.1,333.74,331.41,333.58,20462812,332.6863
20210209,332.62,334.81,332.61,333.51,17597478,333.7612
20210210,334.99,335.46,329.5,332.75,28094700,332.4826
20210211,334.33,335.0,332.12,334.58,22046071,333.9181
20210212,333.71,336.62,332.63,336.45,20346819,334.872
20210216,337.27,338.19,334.34,335.54,27080777,336.3349
20210217,332.47,335.657,330.17,333.93,31467456,332.8058
20210218,330.23,333.8661,328.36,332.47,32236240,331.135
20210219,333.86,333.99,329.97,331.02,39157677,332.1312
20210222,326.5,327.8,322.23,322.44,47256944,325.5444
20210223,317.0,323.2,311.0,321.48,97241936,317.6125
20210224,318.74,324.45,315.96,324.13,58206272,320.8167
20210225,321.39,324.03,311.24,312.83,110182582,317.0279
20210226,315.85,319.11,310.88,314.14,104739841,315.4038
20210301,319.27,323.94,317.935,323.59,49164518,320.9477
20210302,324.25,324.33,318.14,318.4,48370034,321.0159
20210303,317.27,318.24,309.1,309.16,86301073,312.9476
20210304,308.78,312.04,300.11,304.1,139131582,306.1299
20210305,306.795,309.609,297.45,308.68,121523726,304.139
20210308,308.12,310.06,299.51,299.94,88409781,305.4694
20210309,307.47,313.73,306.92,311.77,80391114,310.0975
20210310,316.16,316.47,310.17,310.88,76798065,312.7592
20210311,315.77,319.86,314.85,318.04,53484804,317.2869
20210312,313.86,318.2302,311.391,315.46,69315601,314.4307
20210315,315.79,319.0,314.095,318.83,43123176,316.4045
20210316,321.09,324.2,319.1,320.58,54925896,321.7287
20210317,317.45,323.85,315.68,321.9,78258729,319.362
20210318,316.87,317.8801,311.57,312.04,82942269,315.2296
20210319,311.87,314.73,309.6601,313.14,78446204,312.8424
20210322,315.21,320.74,315.21,318.61,56194755,318.1017
20210323,319.73,321.09,316.375,317.22,53455411,318.8682
20210324,318.63,318.67,311.72,311.87,64803729,315.2284
20210325,309.968,312.885,307.3899,311.33,78729008,310.4747
20210326,311.11,316.33,309.67,316.0,63519634,312.512
20210329,315.45,316.99,312.47,315.91,54607963,314.8634
20210330,313.89,314.91,311.54,314.32,44635676,313.6233
20210331,316.16,320.74,315.81,319.13,55032535,318.9089
20210401,323.07,324.71,322.81,324.57,55691602,323.3437
20210405,327.13,331.84,324.6375,331.05,42172475,329.6748
20210406,330.73,332.83,330.02,330.82,33537210,331.2762
20210407,330.33,332.48,329.37,331.62,32046381,331.3099
20210408,334.56,335.27,333.7399,335.08,29940799,334.5294
20210409,333.68,337.32,332.92,337.11,36664892,335.3248
