Date,Open,High,Low,Close,Volume,vwap
20200929,333.97,334.77,331.6209,332.37,51531594,333.0506
20200930,333.09,338.29,332.88,334.89,104081136,335.2405
20201001,337.69,338.74,335.01,337.04,88698745,336.4631
20201002,331.7,337.0126,331.19,333.84,89431112,334.3949
20201005,336.06,339.96,336.01,339.76,45713108,338.3282
20201006,339.91,342.17,334.38,334.93,90128883,337.7394
20201007,338.12,341.63,338.09,340.76,56999597,340.0133
20201008,342.85,343.85,341.86,343.78,45242476,343.1961
20201009,345.56,347.35,344.89,346.85,59528606,346.1079
20201012,349.59,354.02,349.06,352.43,80388533,351.5052
20201013,352.28,352.4651,349.09,350.13,73255513,351.2422
20201014,350.75,351.93,347.14,347.93,57958749,348.9067
20201015,343.71,348.02,343.13,347.5,60357659,346.0808
20201016,348.96,350.75,347.1,347.29,89501868,348.4005
20201019,348.65,349.33,341.04,342.01,68425614,344.3865
20201020,343.46,346.88,342.64,343.38,60051880,344.3056
20201021,343.33,348.6847,342.4,342.73,63574979,343.6675
20201022,342.96,345.24,340.65,344.61,55399292,343.4092
20201023,345.93,345.99,343.13,345.78,49143931,344.8893
20201026,342.13,342.98,335.62,339.39,91473002,339.4175
20201027,339.76,340.12,337.99,338.22,65994108,338.9133
20201028,332.1,338.2483,326.13,326.66,127094307,329.4738
20201029,326.91,333.395,325.09,329.98,90597689,329.5763
20201030,328.28,329.69,322.6,326.54,120448685,325.7138
20201102,330.2,332.36,327.24,330.2,86068299,329.6046
20201103,333.69,338.25,330.2935,336.03,93294192,335.993
20201104,340.86,347.94,339.59,343.54,126959700,343.6323
20201105,349.24,352.19,348.86,350.24,82039749,350.0043
20201106,349.93,351.51,347.65,350.16,74972973,350.043
20201109,363.97,364.38,354.06,354.56,172304203,358.0348
20201110,353.49,355.18,350.51,354.04,85552022,353.6582
20201111,356.4,357.56,355.06,356.67,58649048,356.2718
20201112,355.58,356.7182,351.26,353.21,68118563,353.6103
20201113,355.27,358.9,354.71,358.1,62959429,356.8732
20201116,360.98,362.78,359.59,362.57,74541138,361.0934
20201117,359.97,361.92,358.34,360.62,66111009,360.5315
20201118,360.91,361.5,356.24,356.28,70591299,359.0649
20201119,355.6,358.18,354.15,357.78,59940947,356.4787
20201120,357.5,357.72,355.25,355.33,70411890,356.4715
20201123,357.28,358.82,354.865,357.46,63230608,356.9058
20201124,360.21,363.81,359.29,363.22,62415877,362.0607
20201125,363.13,363.16,361.48,362.66,45330890,362.5154
20201127,363.84,364.18,362.58,363.67,28514072,363.5935
20201130,362.83,363.12,359.17,362.06,83872709,361.704
20201201,365.57,367.68,364.93,366.02,74504969,365.9683
20201202,364.82,366.96,364.2,366.79,45927000,366.0475
20201203,366.68,368.19,365.5,366.69,62881998,366.9087
20201204,367.32,369.85,367.22,369.85,50749859,368.8068
20201207,369.02,369.62,367.72,369.09,48944269,368.9232
20201208,367.72,370.78,367.67,370.17,42458859,369.5422
20201209,370.88,371.05,365.95,366.85,74098312,368.1249
20201210,365.37,367.86,364.43,366.73,57735353,366.768
20201211,364.9,366.7402,363.26,366.3,57698614,365.4625
20201214,368.64,369.8,364.47,364.66,69216174,366.6035
20201215,367.4,369.59,365.92,369.59,64071099,367.8398
20201216,369.82,371.16,368.8676,370.17,58420517,369.9412
20201217,371.94,372.46,371.05,372.24,64119472,371.5884
20201218,370.97,371.15,367.02,369.18,136542328,369.45
20201221,364.97,378.46,362.03,367.86,96386745,366.3167
20201222,368.21,368.3317,366.03,367.24,48388462,367.4487
20201223,368.28,369.62,367.2172,367.57,46201402,368.3764
20201224,368.08,369.03,367.45,369.0,26457853,368.3938
20201228,371.74,372.59,371.07,372.17,39000402,371.7344
20201229,373.81,374.0,370.83,371.46,53680451,371.8968
20201230,372.34,373.1,371.57,371.99,49455259,372.0923
20201231,371.78,374.66,371.232,373.88,78520702,373.2003
20210104,375.31,375.45,364.82,368.79,110210810,369.3374
20210105,368.1,372.5,368.05,371.33,66426229,370.39
20210106,369.71,376.98,369.12,373.55,107997675,373.8073
20210107,376.1,379.9,375.91,379.1,68766812,378.249
20210108,380.59,381.49,377.1,381.26,71677208,380.1116
20210111,377.85,380.58,377.7189,378.69,51176719,379.1432
20210112,378.89,379.86,376.36,378.77,52547716,378.6646
20210113,378.69,380.86,377.85,379.79,45303619,379.6609
20210114,380.59,381.13,378.1,378.46,49989113,379.669
20210115,376.72,377.58,373.7,375.7,107159962,376.0835
20210119,378.34,379.23,376.75,378.65,51233300,378.0949
20210120,381.11,384.79,380.69,383.89,61836062,382.6027
20210121,384.49,384.95,383.25,384.24,47955809,384.2351
20210122,382.25,384.1256,381.835,382.88,52136931,383.2008
20210125,383.67,384.77,378.46,384.39,70401971,382.7616
20210126,385.41,385.85,383.54,383.79,42665281,384.4001
20210127,380.22,380.32,372.01,374.41,123351078,376.5737
20210128,376.36,381.93,375.89,377.63,94198104,378.4165
20210129,375.63,376.67,368.27,370.07,126765121,372.2054
20210201,373.72,377.34,370.376,376.23,75817597,374.4903
20210202,379.65,383.22,376.3181,381.55,64450662,381.477
20210203,382.435,383.7,380.48,381.85,52427090,382.3326
20210204,382.96,386.24,381.9655,386.19,47142555,384.5506
20210205,388.2,388.47,386.1444,387.71,48669773,387.4195
20210208,389.27,390.56,388.35,390.51,38365185,389.2989
20210209,389.61,390.89,389.17,390.25,35551059,390.2926
20210210,392.12,392.28,387.5,390.08,59154370,389.9451
20210211,391.24,391.69,388.1,390.71,42913288,390.1667
20210212,389.85,392.9,389.77,392.64,50593270,391.6033
20210216,393.96,394.17,391.53,392.3,50972366,392.8774
20210217,390.42,392.66,389.33,392.39,52806681,391.38
20210218,389.59,391.515,387.74,390.72,59712773,390.1067
20210219,392.07,392.38,389.55,390.03,83240971,390.7504
20210222,387.06,389.62,386.74,387.03,67414170,387.9672
20210223,384.66,388.945,380.2,387.5,107284127,385.1455
20210224,386.33,392.23,385.27,391.77,72433946,389.4868
20210225,390.41,391.88,380.7789,382.33,146670499,385.861
20210226,384.35,385.58,378.23,380.36,152701639,382.2389
20210301,385.59,390.92,380.572,389.58,105348798,388.2335
20210302,389.82,390.07,386.0,386.54,79595332,388.2678
20210303,385.79,386.83,381.31,381.42,119940211,384.0194
20210304,381.22,384.0,371.88,376.7,183433020,378.2822
20210305,380.46,384.76,372.64,383.63,152039624,379.146
20210308,384.66,387.68,381.42,381.72,123149245,384.7047
20210309,385.85,389.91,381.7299,387.17,113633556,387.3
20210310,389.69,391.4,388.1702,389.58,109899410,389.6242
20210311,392.23,395.65,391.74,393.53,86245040,393.2186
20210312,392.07,394.21,391.2,394.06,64653565,392.8997
20210315,394.33,396.685,392.03,396.41,73592302,394.523
20210316,397.07,397.83,395.08,395.91,73722506,396.5732
20210317,394.53,398.12,393.3,397.26,97959265,395.6961
20210318,394.475,396.72,390.75,391.48,115349101,393.9935
20210319,389.88,391.569,387.15,389.48,113624490,389.8339
20210322,390.03,394.07,389.97,392.59,73778646,391.921
20210323,391.91,393.46,388.66,389.5,90686552,391.2134
20210324,391.0,392.75,387.47,387.52,97588644,390.111
20210325,385.98,390.55,383.9,389.7,116128622,387.4392
20210326,390.93,396.41,390.29,395.98,114409114,392.5282
20210329,394.4,396.75,392.81,395.78,108107626,395.2
20210330,394.42,395.45,393.02,394.73,76262249,394.4533
20210331,395.34,398.0,395.31,396.33,112734214,396.3398
